,Strain,Type,Effects,Flavor,Description,name,ailment,all_text,lemmas
421,Cactus-Cooler,hybrid,"Creative,Euphoric,Focused,Happy,Energetic","Citrus,Earthy,Sweet","Cactus Cooler is a sativa-dominant strain that’s said to be a cross between Blue Dream and OG Kush. The sativa in Cactus Cooler lends an upbeat cerebral kick to help you stay focused and productive throughout the day, while the OG boosts the senses with buzzing euphoria. With notes of sharp lemon and sweet wildflowers, Cactus Cooler takes after both parents in its fragrance.",,,"Cactus-Cooler hybrid Creative,Euphoric,Focused,Happy,Energetic Citrus,Earthy,Sweet Cactus Cooler is a sativa-dominant strain that’s said to be a cross between Blue Dream and OG Kush. The sativa in Cactus Cooler lends an upbeat cerebral kick to help you stay focused and productive throughout the day, while the OG boosts the senses with buzzing euphoria. With notes of sharp lemon and sweet wildflowers, Cactus Cooler takes after both parents in its fragrance.  ",cactus Cooler hybrid Creative Euphoric Focused happy Energetic Citrus Earthy Sweet cactus Cooler sativa dominant strain ’ say cross Blue Dream OG Kush sativa Cactus Cooler lend upbeat cerebral kick help stay focused productive day og boost sense buzz euphoria note sharp lemon sweet wildflower cactus cooler take parent fragrance  
422,Cadillac-Purple,indica,"Relaxed,Sleepy,Tingly,Happy,Hungry","Berry,Earthy,Grape","Cadillac Purple is a heavy indica strain that is popular among users seeking true body relaxation and pain relief without the spacey cerebral effects common to more sativa-heavy hybrids. Depending on tolerance, this strain can be a bit of a “creeper,” but when its effects do hit, they tend to be calming, body-soothing, and may lead to some restful sleep. Buds are deep greens with plenty of purple, making for some very pretty flowers. The aroma, too, is pleasant – mild and like a sweet perfume.",,,"Cadillac-Purple indica Relaxed,Sleepy,Tingly,Happy,Hungry Berry,Earthy,Grape Cadillac Purple is a heavy indica strain that is popular among users seeking true body relaxation and pain relief without the spacey cerebral effects common to more sativa-heavy hybrids. Depending on tolerance, this strain can be a bit of a “creeper,” but when its effects do hit, they tend to be calming, body-soothing, and may lead to some restful sleep. Buds are deep greens with plenty of purple, making for some very pretty flowers. The aroma, too, is pleasant – mild and like a sweet perfume.  ",Cadillac Purple indica Relaxed Sleepy Tingly happy Hungry Berry Earthy Grape Cadillac Purple heavy indica strain popular user seek true body relaxation pain relief spacey cerebral effect common sativa heavy hybrid depend tolerance strain bit creeper effect hit tend calm body soothing lead restful sleep bud deep green plenty purple make pretty flower aroma pleasant mild like sweet perfume  
423,Cali-Gold,hybrid,"Uplifted,Relaxed,Happy,Sleepy,Euphoric","Earthy,Pine,Skunk","This indica-dominant California strain will have you thinking about taking a hike in the woods with its clean, green grass smell that has hints of herbs. The potent smell is actually the first thing many users notice about Cali Gold and the taste pulls in notes of citrus, bringing to mind lemongrass. This strain is a cross between Jah OG Kush and DS Gold. The plants also look impressive, with bulky, crystalline buds. Effects tend to be body relaxing but not completely sedative, so that hike may just be a possibility.",,,"Cali-Gold hybrid Uplifted,Relaxed,Happy,Sleepy,Euphoric Earthy,Pine,Skunk This indica-dominant California strain will have you thinking about taking a hike in the woods with its clean, green grass smell that has hints of herbs. The potent smell is actually the first thing many users notice about Cali Gold and the taste pulls in notes of citrus, bringing to mind lemongrass. This strain is a cross between Jah OG Kush and DS Gold. The plants also look impressive, with bulky, crystalline buds. Effects tend to be body relaxing but not completely sedative, so that hike may just be a possibility.  ",Cali Gold hybrid Uplifted Relaxed happy sleepy Euphoric Earthy Pine Skunk indica dominant California strain think take hike wood clean green grass smell hint herb potent smell actually thing user notice Cali Gold taste pull note citrus bring mind lemongrass strain cross Jah OG Kush DS Gold plant look impressive bulky crystalline bud effect tend body relax completely sedative hike possibility  
424,Cali-Jack,hybrid,"Creative,Happy,Talkative,Uplifted,Euphoric","Diesel,Sweet,Skunk","Cali Jack by Medicanna Seeds is a potent union of polar opposites. Jack Herer, the sativa-dominant king of clear-minded motivation, comes together with Pre-98 Bubba Kush, a classic West Coast indica dynamo with a heavy body and laidback demeanor, to form a strain with powerful and unique properties. Exhibiting stimulating cerebral effects coupled with a body-heavy indica punch, Cali Jack can help relieve migraines, nausea, anxiety, and fibromyalgia symptoms.  ",,,"Cali-Jack hybrid Creative,Happy,Talkative,Uplifted,Euphoric Diesel,Sweet,Skunk Cali Jack by Medicanna Seeds is a potent union of polar opposites. Jack Herer, the sativa-dominant king of clear-minded motivation, comes together with Pre-98 Bubba Kush, a classic West Coast indica dynamo with a heavy body and laidback demeanor, to form a strain with powerful and unique properties. Exhibiting stimulating cerebral effects coupled with a body-heavy indica punch, Cali Jack can help relieve migraines, nausea, anxiety, and fibromyalgia symptoms.    ",Cali Jack hybrid Creative happy talkative uplifted Euphoric Diesel Sweet Skunk Cali Jack Medicanna Seeds potent union polar opposite Jack Herer sativa dominant king clear minded motivation come Pre-98 Bubba Kush classic West Coast indica dynamo heavy body laidback demeanor form strain powerful unique property exhibit stimulate cerebral effect couple body heavy indica punch Cali Jack help relieve migraine nausea anxiety fibromyalgia symptom    
425,Cali-Kush,hybrid,"Relaxed,Happy,Hungry,Euphoric,Uplifted","Earthy,Woody,Sweet","Cali Kush must have been a no-brainer when it came time to name this strain given the popularity of Kush varieties in The Golden State. Its buds are large and dense with few leaves and not many pistils. The flowers will be light green shot through with icy blue and packed with trichomes throughout. Cali Kush buds have a fruity citrus aroma with the darker coffee notes of a kush. Spicier tones and the coffee kushness are more apparent in the taste. The indica-dominant variation of this hybrid has been more popular, but a sativa-dominant version has also been spotted.",,,"Cali-Kush hybrid Relaxed,Happy,Hungry,Euphoric,Uplifted Earthy,Woody,Sweet Cali Kush must have been a no-brainer when it came time to name this strain given the popularity of Kush varieties in The Golden State. Its buds are large and dense with few leaves and not many pistils. The flowers will be light green shot through with icy blue and packed with trichomes throughout. Cali Kush buds have a fruity citrus aroma with the darker coffee notes of a kush. Spicier tones and the coffee kushness are more apparent in the taste. The indica-dominant variation of this hybrid has been more popular, but a sativa-dominant version has also been spotted.  ",Cali Kush hybrid Relaxed happy hungry Euphoric Uplifted Earthy woody Sweet Cali Kush brainer come time strain give popularity Kush variety Golden State bud large dense leave pistil flower light green shot icy blue pack trichome Cali Kush bud fruity citrus aroma dark coffee note kush spicy tone coffee kushness apparent taste indica dominant variation hybrid popular sativa dominant version spot  
426,California-Grapefruit,indica,"Euphoric,Relaxed,Tingly,Talkative,Uplifted","Citrus,Grapefruit,Pepper","California Grapefruit by DNA Genetics is an indica strain that draws from a palette of California-grown genetics: Northern Lights, Skunk #1, and Afghani. Loyal to her indica dominance, California Grapefruit promises a heavily relaxing effect that takes a few minutes to fully kick in, even when inhaled. The weight of this indica may just be enough to crush pain, insomnia, and muscle tension in most patients. Its earthy flavor is accented by a sweet, sour grapefruit aroma which lends this strain its name.",,,"California-Grapefruit indica Euphoric,Relaxed,Tingly,Talkative,Uplifted Citrus,Grapefruit,Pepper California Grapefruit by DNA Genetics is an indica strain that draws from a palette of California-grown genetics: Northern Lights, Skunk #1, and Afghani. Loyal to her indica dominance, California Grapefruit promises a heavily relaxing effect that takes a few minutes to fully kick in, even when inhaled. The weight of this indica may just be enough to crush pain, insomnia, and muscle tension in most patients. Its earthy flavor is accented by a sweet, sour grapefruit aroma which lends this strain its name.  ",California Grapefruit indica Euphoric relaxed Tingly talkative Uplifted Citrus Grapefruit Pepper California Grapefruit DNA Genetics indica strain draw palette California grow genetic    Northern Lights skunk 1 afghani loyal indica dominance California Grapefruit promise heavily relaxing effect take minute fully kick inhale weight indica crush pain insomnia muscle tension    patient    earthy flavor accent sweet sour grapefruit aroma lend strain  
427,California-Hash-Plant,indica,"Uplifted,Creative,Energetic,Giggly,Happy",Citrus,"California Hash Plant is a combination of two sister strains from the same Hash Plant mother. Offering a spicy, floral aroma, this endogamic cross weighs heavily on the limbs and mind, dissolving anxiety and encouraging rest. Known for its mold resistance and indoor or outdoor adaptability, California Hash Plant is a solid choice for experienced growers seeking out a potent cannabis variety. Enjoy California Hash Plant near the end of the day as its sedative effects can give lead boots to the consumer’s motivation.  ",,,"California-Hash-Plant indica Uplifted,Creative,Energetic,Giggly,Happy Citrus California Hash Plant is a combination of two sister strains from the same Hash Plant mother. Offering a spicy, floral aroma, this endogamic cross weighs heavily on the limbs and mind, dissolving anxiety and encouraging rest. Known for its mold resistance and indoor or outdoor adaptability, California Hash Plant is a solid choice for experienced growers seeking out a potent cannabis variety. Enjoy California Hash Plant near the end of the day as its sedative effects can give lead boots to the consumer’s motivation.    ",California Hash Plant indica Uplifted creative energetic giggly Happy Citrus California Hash Plant combination sister strain Hash Plant mother offer spicy floral aroma endogamic cross weigh heavily limb mind dissolve anxiety encouraging rest know mold resistance indoor outdoor adaptability California Hash Plant solid choice experienced grower seek potent cannabis variety enjoy California Hash Plant near end day sedative effect lead boot consumer ’s motivation    
428,California-Orange,hybrid,"Happy,Relaxed,Uplifted,Euphoric,Giggly","Citrus,Orange,Sweet","California Orange is an old school classic, dating back to at least 1980, and as such, there is a great deal of mystery surrounding its origin. It is generally accepted to be a 50/50 indica/sativa hybrid, is quite easy to grow, and produces a sweet citrus aroma reminiscent of orange zest. Also known as Cali-O, Cali Orange Bud, C.O.B., and available from Dutch Passion as “Californian Orange” in feminized seed form, this hybrid has found its way around the globe and is a favorite with many growers. Most users report that California Orange produces an upbeat, clear-headed high when consumed in moderation, while heavier dosing can lead to a more indica-type body feeling.",,,"California-Orange hybrid Happy,Relaxed,Uplifted,Euphoric,Giggly Citrus,Orange,Sweet California Orange is an old school classic, dating back to at least 1980, and as such, there is a great deal of mystery surrounding its origin. It is generally accepted to be a 50/50 indica/sativa hybrid, is quite easy to grow, and produces a sweet citrus aroma reminiscent of orange zest. Also known as Cali-O, Cali Orange Bud, C.O.B., and available from Dutch Passion as “Californian Orange” in feminized seed form, this hybrid has found its way around the globe and is a favorite with many growers. Most users report that California Orange produces an upbeat, clear-headed high when consumed in moderation, while heavier dosing can lead to a more indica-type body feeling.  ",California Orange hybrid Happy Relaxed Uplifted euphoric Giggly Citrus Orange Sweet California Orange old school classic date 1980 great deal mystery surround origin generally accept 50/50 indica sativa hybrid easy grow produce sweet citrus aroma reminiscent orange zest know Cali O Cali Orange Bud C.O.B. available dutch passion Californian Orange feminize seed form hybrid find way globe favorite grower user report California Orange produce upbeat clear head high consume moderation heavy dosing lead indica type body feeling  
429,California-Sour,hybrid,"Focused,Relaxed,Euphoric,Energetic,Uplifted","Lemon,Diesel,Citrus",California Sour is an elusive hybrid strain that has given rise to many flavorful cannabis varieties such as Lemon Diesel and Sour Lemon OG. This hybrid balances the genetics of a Mexican sativa and an Afghani indica.,,,"California-Sour hybrid Focused,Relaxed,Euphoric,Energetic,Uplifted Lemon,Diesel,Citrus California Sour is an elusive hybrid strain that has given rise to many flavorful cannabis varieties such as Lemon Diesel and Sour Lemon OG. This hybrid balances the genetics of a Mexican sativa and an Afghani indica.  ",California Sour hybrid Focused Relaxed euphoric energetic Uplifted Lemon Diesel Citrus California Sour elusive hybrid strain give rise flavorful cannabis variety    Lemon Diesel Sour Lemon OG hybrid balance genetic mexican sativa afghani indica  
430,Calyx-Og,hybrid,None,None,"Calyx OG (also known as Calyx OG #3) is a balanced 50/50 hybrid from Calyx Garden. This strain was bred by crossing Platinum Calyx with True OG, creating a dense flower with a pungent aroma. The terpene profile of Calyx OG is a mixture of citrus and earthy aromas. It offers up over 1% in limonene, nearly half a percent in pinene and humulene, and almost a full percent of caryophyllene. This harmony of terpenes and upwards of 27% THC make for a potent flower in both effect and aroma. Calyx OG has a 60-day flowering cycle and happens to be one of Calyx Garden’s highest yielding strains.  ",,,"Calyx-Og hybrid None None Calyx OG (also known as Calyx OG #3) is a balanced 50/50 hybrid from Calyx Garden. This strain was bred by crossing Platinum Calyx with True OG, creating a dense flower with a pungent aroma. The terpene profile of Calyx OG is a mixture of citrus and earthy aromas. It offers up over 1% in limonene, nearly half a percent in pinene and humulene, and almost a full percent of caryophyllene. This harmony of terpenes and upwards of 27% THC make for a potent flower in both effect and aroma. Calyx OG has a 60-day flowering cycle and happens to be one of Calyx Garden’s highest yielding strains.    ",Calyx Og hybrid Calyx OG know Calyx OG 3 balanced 50/50 hybrid Calyx Garden strain breed cross Platinum Calyx True og create dense flower pungent aroma terpene profile Calyx OG mixture citrus earthy aroma offer 1 limonene nearly half percent pinene humulene percent caryophyllene harmony terpene upwards 27 THC potent flower effect aroma Calyx OG 60-day flower cycle happen Calyx Garden ’s high yield strain     
431,Cambodian,sativa,"Energetic,Talkative,Happy,Relaxed,Uplifted","Earthy,Tropical,Flowery",Cambodian refers to any strain that grows natively in this region. These indigenous vareities (also called landraces) tend to be sativa in structure and effect due to Cambodia's latitude and climate.,,,"Cambodian sativa Energetic,Talkative,Happy,Relaxed,Uplifted Earthy,Tropical,Flowery Cambodian refers to any strain that grows natively in this region. These indigenous vareities (also called landraces) tend to be sativa in structure and effect due to Cambodia's latitude and climate.  ",cambodian sativa energetic talkative happy Relaxed Uplifted Earthy Tropical Flowery Cambodian    refer strain grow natively region indigenous vareitie call landrace tend sativa structure effect Cambodia latitude climate  
432,Cambodian-Haze,sativa,"Euphoric,Happy,Aroused,Creative,Relaxed","Sweet,Citrus,Lemon","Reeferman Seeds created the vibrant Cambodian Haze sativa by crossing a Cambodian landrace strain with Purple Haze. This South East Asian spin on the classic Purple Haze will deliver a strong euphoric experience without exacerbating paranoia. Known to be extremely sticky in texture and sweet in flavor, Cambodian Haze is the perfect sativa for staying productive without being up all night. Flowering in 11 to 12 weeks, this strain is best suited for indoor and greenhouse grows for an experienced grower.   ",,,"Cambodian-Haze sativa Euphoric,Happy,Aroused,Creative,Relaxed Sweet,Citrus,Lemon Reeferman Seeds created the vibrant Cambodian Haze sativa by crossing a Cambodian landrace strain with Purple Haze. This South East Asian spin on the classic Purple Haze will deliver a strong euphoric experience without exacerbating paranoia. Known to be extremely sticky in texture and sweet in flavor, Cambodian Haze is the perfect sativa for staying productive without being up all night. Flowering in 11 to 12 weeks, this strain is best suited for indoor and greenhouse grows for an experienced grower.     ",Cambodian Haze sativa Euphoric happy arouse Creative Relaxed Sweet Citrus Lemon Reeferman Seeds create vibrant Cambodian Haze sativa cross cambodian landrace strain Purple Haze South East asian spin classic Purple Haze deliver strong euphoric experience exacerbate paranoia know extremely sticky texture sweet flavor Cambodian Haze perfect sativa stay productive night flower 11 12 week strain best suit indoor greenhouse grow experienced grower     
433,Candy-Cane,indica,"Relaxed,Sleepy,Euphoric,Hungry,Happy","Sweet,Tropical,Pine","Candy Cane is a 70% indica strain from Crop King Seeds that combines AK-47, Mango, and White Widow genetics. Its sour, fruity taste is followed by long-lasting, euphoric effects that combat stress and tension. Candy Cane autoflowers in 7 weeks and produces moderately high yields in both indoor and outdoor gardens.",,,"Candy-Cane indica Relaxed,Sleepy,Euphoric,Hungry,Happy Sweet,Tropical,Pine Candy Cane is a 70% indica strain from Crop King Seeds that combines AK-47, Mango, and White Widow genetics. Its sour, fruity taste is followed by long-lasting, euphoric effects that combat stress and tension. Candy Cane autoflowers in 7 weeks and produces moderately high yields in both indoor and outdoor gardens.  ",candy Cane indica Relaxed sleepy euphoric hungry Happy Sweet Tropical Pine Candy Cane 70 indica strain Crop King Seeds combine AK-47 Mango White Widow genetic sour fruity taste follow long last euphoric effect combat stress tension Candy Cane autoflower 7 week produce moderately high yield indoor outdoor garden  
434,Candy-Jack,sativa,"Happy,Energetic,Euphoric,Creative,Focused","Skunk,Citrus,Pungent","Candy Jack is a mostly sativa strain that provides a swift boost to your mood alongside a sweet, citrus aroma. The fragrant smell is inherited from its Skunk #1 parent, while creative and focused effects stem from the Jack Herer side of the family. While its complex terpene profile may impress even the most hardened connoisseur, patients typically appreciate Candy Jack’s ability to counter stress, depression, and appetite loss. With a few Cannabis Cup wins already under its belt, Candy Jack’s potency, flavor, and effects have won this sativa a sterling reputation in the cannabis world. ",,,"Candy-Jack sativa Happy,Energetic,Euphoric,Creative,Focused Skunk,Citrus,Pungent Candy Jack is a mostly sativa strain that provides a swift boost to your mood alongside a sweet, citrus aroma. The fragrant smell is inherited from its Skunk #1 parent, while creative and focused effects stem from the Jack Herer side of the family. While its complex terpene profile may impress even the most hardened connoisseur, patients typically appreciate Candy Jack’s ability to counter stress, depression, and appetite loss. With a few Cannabis Cup wins already under its belt, Candy Jack’s potency, flavor, and effects have won this sativa a sterling reputation in the cannabis world.   ",candy Jack sativa Happy energetic euphoric Creative Focused Skunk Citrus Pungent Candy Jack sativa strain provide swift boost mood alongside sweet citrus aroma fragrant smell inherit skunk 1 parent creative focus effect stem Jack Herer family complex terpene profile impress hardened connoisseur patient typically appreciate Candy Jack ’s ability counter stress depression appetite loss Cannabis Cup win belt Candy Jack ’s potency flavor effect win sativa sterling reputation cannabis world    
435,Candyland,sativa,"Happy,Uplifted,Energetic,Euphoric,Creative","Sweet,Earthy,Flowery","Candyland, a gold medalist of the 2012 KushCon, is a sativa-dominant hybrid bred from Granddaddy Purple and Bay Platinum Cookies. Golden hairs weave through Candyland’s thick coat of sugar-like trichomes and highlight the compact, camouflage-colored buds. This strain grows well indoors and out, and patients turn to Candyland to relieve pain, muscle tension, and sour moods. Strong sativa genetics give Candyland uplifting and stimulating effects, making it a perfect strain for social gatherings or creative pastimes.",Candyland,"Stress, Depression, Pain","Candyland sativa Happy,Uplifted,Energetic,Euphoric,Creative Sweet,Earthy,Flowery Candyland, a gold medalist of the 2012 KushCon, is a sativa-dominant hybrid bred from Granddaddy Purple and Bay Platinum Cookies. Golden hairs weave through Candyland’s thick coat of sugar-like trichomes and highlight the compact, camouflage-colored buds. This strain grows well indoors and out, and patients turn to Candyland to relieve pain, muscle tension, and sour moods. Strong sativa genetics give Candyland uplifting and stimulating effects, making it a perfect strain for social gatherings or creative pastimes. Candyland Stress, Depression, Pain",candyland sativa Happy Uplifted energetic euphoric Creative Sweet Earthy Flowery Candyland gold medalist 2012 KushCon sativa dominant hybrid breed Granddaddy Purple Bay Platinum Cookies golden hair weave Candyland ’s thick coat sugar like trichome highlight compact camouflage color bud strain grow indoor patient turn Candyland relieve pain muscle tension sour mood strong sativa genetic Candyland uplifting stimulating effect make perfect strain social gathering creative pastime Candyland Stress Depression Pain
436,Canna-Tsu,hybrid,"Relaxed,Happy,Focused,Uplifted,Creative","Woody,Earthy,Grapefruit","Canna-Tsu is a hybrid cannabis strain that combines genetics from two CBD-rich parents, Cannatonic and Sour Tsunami. Sweet earthy flavors activate on the exhale, complementing the subtle citrus aroma that radiates from Canna-Tsu’s buds. Because of its high-CBD, low-THC cannabinoid profile, Canna-Tsu delivers its mellow effects with mental clarity. Strains high in CBD like Canna-Tsu are highly demanded by patients treating pain, inflammation, anxiety, and seizures. ",,,"Canna-Tsu hybrid Relaxed,Happy,Focused,Uplifted,Creative Woody,Earthy,Grapefruit Canna-Tsu is a hybrid cannabis strain that combines genetics from two CBD-rich parents, Cannatonic and Sour Tsunami. Sweet earthy flavors activate on the exhale, complementing the subtle citrus aroma that radiates from Canna-Tsu’s buds. Because of its high-CBD, low-THC cannabinoid profile, Canna-Tsu delivers its mellow effects with mental clarity. Strains high in CBD like Canna-Tsu are highly demanded by patients treating pain, inflammation, anxiety, and seizures.   ",Canna Tsu hybrid Relaxed Happy Focused Uplifted Creative Woody Earthy Grapefruit Canna Tsu hybrid cannabis strain combine genetic CBD rich parent Cannatonic Sour Tsunami sweet earthy flavor activate exhale complement subtle citrus aroma radiate Canna Tsu ’s bud high CBD low thc cannabinoid profile Canna Tsu deliver mellow effect mental clarity strain high CBD like Canna Tsu highly demand patient treat pain inflammation anxiety seizure    
437,Cannasutra,indica,"Relaxed,Euphoric,Sleepy,Happy,Aroused","Earthy,Sweet,Berry","CannaSutra by Delta 9 Labs is a 70/30 indica-dominant cannabis strain parented by Reclining Buddha and Sensi Star. Appropriately derived from the Sanskrit love guide Kama Sutra, this strain is said to sharpen the senses for enhanced romantic encounters. Mellow and functional enough to leave mental acuity intact, CannaSutra is an excellent indica for daytime indulgence. Its flavor is comparable to that of incense, with sweet hashy accents that leave you feeling relaxed and peaceful as you exhale.",,,"Cannasutra indica Relaxed,Euphoric,Sleepy,Happy,Aroused Earthy,Sweet,Berry CannaSutra by Delta 9 Labs is a 70/30 indica-dominant cannabis strain parented by Reclining Buddha and Sensi Star. Appropriately derived from the Sanskrit love guide Kama Sutra, this strain is said to sharpen the senses for enhanced romantic encounters. Mellow and functional enough to leave mental acuity intact, CannaSutra is an excellent indica for daytime indulgence. Its flavor is comparable to that of incense, with sweet hashy accents that leave you feeling relaxed and peaceful as you exhale.  ",Cannasutra indica Relaxed euphoric Sleepy happy arouse Earthy Sweet Berry CannaSutra Delta 9 Labs 70/30 indica dominant cannabis strain parent Reclining Buddha Sensi Star appropriately derive Sanskrit love guide Kama Sutra strain say sharpen sense enhanced romantic encounter mellow functional leave mental acuity intact CannaSutra excellent indica daytime indulgence flavor comparable incense sweet hashy accent leave feel relaxed peaceful exhale  
438,Cannadential,hybrid,"Euphoric,Happy,Relaxed,Uplifted,Energetic","Earthy,Pungent,Diesel","Grows like Cannalope Haze, tastes like LA Confidential. This plant is the perfect mix of indica/sativa. Heavy buds and a fruity smell brought to us by those crazy geneticists from DNA Genetics. Anything crossed into the LA strain results in something special, every time.",,,"Cannadential hybrid Euphoric,Happy,Relaxed,Uplifted,Energetic Earthy,Pungent,Diesel Grows like Cannalope Haze, tastes like LA Confidential. This plant is the perfect mix of indica/sativa. Heavy buds and a fruity smell brought to us by those crazy geneticists from DNA Genetics. Anything crossed into the LA strain results in something special, every time.  ",cannadential hybrid Euphoric happy Relaxed Uplifted Energetic Earthy pungent Diesel grow like Cannalope Haze taste like LA Confidential plant perfect mix indica sativa heavy bud fruity smell bring crazy geneticist DNA Genetics cross LA strain result special time  
439,Cannalope-Haze,sativa,"Happy,Relaxed,Energetic,Uplifted,Creative","Sweet,Tropical,Flowery","Like the name suggests, Cannalope Haze is a sweet mix of tropical, melon, and floral flavors. Almost a pure sativa that crosses Haze Brothers Original Haze and a Mexican landrace, this strain is a great solution for fatigue and when struggling with appetite loss. The smooth taste and hefty resin production make it great for producing concentrates.",,,"Cannalope-Haze sativa Happy,Relaxed,Energetic,Uplifted,Creative Sweet,Tropical,Flowery Like the name suggests, Cannalope Haze is a sweet mix of tropical, melon, and floral flavors. Almost a pure sativa that crosses Haze Brothers Original Haze and a Mexican landrace, this strain is a great solution for fatigue and when struggling with appetite loss. The smooth taste and hefty resin production make it great for producing concentrates.  ",Cannalope Haze sativa Happy relaxed energetic uplifted Creative Sweet Tropical flowery like suggest Cannalope Haze sweet mix tropical melon    floral flavor pure sativa cross Haze Brothers    Original Haze mexican landrace strain great solution fatigue struggle appetite loss smooth taste hefty resin production great produce concentrate  
440,Cannalope-Kush,hybrid,"Uplifted,Happy,Relaxed,Euphoric,Focused","Sweet,Earthy,Woody","Cannalope Kush from DNA Genetics mixes the powerful effects of OG #18 with the sweet fruity flavors of Cannalope Haze. Though it is sativa-dominant, many enjoy the balancing act of the underlying indica influence. This hybrid delivers a pleasant light smoke with woody undertones alongside an energetic burst of cerebral activity and euphoria.",,,"Cannalope-Kush hybrid Uplifted,Happy,Relaxed,Euphoric,Focused Sweet,Earthy,Woody Cannalope Kush from DNA Genetics mixes the powerful effects of OG #18 with the sweet fruity flavors of Cannalope Haze. Though it is sativa-dominant, many enjoy the balancing act of the underlying indica influence. This hybrid delivers a pleasant light smoke with woody undertones alongside an energetic burst of cerebral activity and euphoria.  ",Cannalope Kush hybrid Uplifted happy Relaxed Euphoric Focused Sweet earthy Woody Cannalope Kush DNA Genetics mix powerful effect og 18 sweet fruity flavor Cannalope Haze sativa dominant enjoy balancing act underlying indica influence hybrid deliver pleasant light smoke woody undertone alongside energetic burst cerebral activity euphoria  
441,Cannatonic,hybrid,"Relaxed,Happy,Uplifted,Focused,Euphoric","Earthy,Woody,Sweet","Cannatonic is a unique hybrid strain bred by Spanish seed bank Resin Seeds specifically for its low THC content (rarely above 6%) and high CBD content (6-17%).  A cross between a female MK Ultra and a famous G13 Haze male, it produces a relatively short-lived, mellow high that is also uplifting and powerfully relaxing, thanks to the high CBD content.  As one of the premier medical strains, Cannatonic is often used to treat pain, muscle spasms, anxiety, migraines, and a wide variety of other physiological and psychological symptoms.  Most phenotypes present with a slight earthy odor and a mild, sweet, vaguely citrusy flavor. ",,,"Cannatonic hybrid Relaxed,Happy,Uplifted,Focused,Euphoric Earthy,Woody,Sweet Cannatonic is a unique hybrid strain bred by Spanish seed bank Resin Seeds specifically for its low THC content (rarely above 6%) and high CBD content (6-17%).  A cross between a female MK Ultra and a famous G13 Haze male, it produces a relatively short-lived, mellow high that is also uplifting and powerfully relaxing, thanks to the high CBD content.  As one of the premier medical strains, Cannatonic is often used to treat pain, muscle spasms, anxiety, migraines, and a wide variety of other physiological and psychological symptoms.  Most phenotypes present with a slight earthy odor and a mild, sweet, vaguely citrusy flavor.   ",cannatonic hybrid Relaxed happy Uplifted Focused Euphoric Earthy Woody Sweet Cannatonic unique hybrid strain breed spanish seed bank Resin Seeds specifically low THC content rarely 6 high CBD content 6 17    cross female MK Ultra famous G13 Haze male produce relatively short lived mellow high uplifting powerfully relaxing thank high CBD content    premier medical strain Cannatonic treat pain muscle spasm anxiety migraine wide variety physiological psychological symptom    phenotype present slight earthy odor mild sweet vaguely citrusy flavor    
442,Capers,indica,"Sleepy,Happy,Hungry,Relaxed,Uplifted","Pungent,Skunk,Earthy","Capers is a mostly indica strain believed to have descended from the Burmese Kush genetic line. Pain and insomnia are crushed under the weight of this indica's relaxing effects, making this powerhouse indica a perfect choice for late night consumption. Its THC content typically falls around 15% with other cannabinoids occuring in trace amounts.",Capers,"Muscle Spasms, Insomnia, Nausea, Pain, Lack of Appetite","Capers indica Sleepy,Happy,Hungry,Relaxed,Uplifted Pungent,Skunk,Earthy Capers is a mostly indica strain believed to have descended from the Burmese Kush genetic line. Pain and insomnia are crushed under the weight of this indica's relaxing effects, making this powerhouse indica a perfect choice for late night consumption. Its THC content typically falls around 15% with other cannabinoids occuring in trace amounts. Capers Muscle Spasms, Insomnia, Nausea, Pain, Lack of Appetite",caper indica Sleepy happy hungry relaxed Uplifted pungent Skunk Earthy Capers indica strain believe descend Burmese Kush genetic line pain insomnia crush weight indica relaxing effect make powerhouse indica perfect choice late night consumption THC content typically fall 15 cannabinoid occur trace amount caper Muscle Spasms Insomnia Nausea Pain Lack appetite
443,Capleton,hybrid,"Sleepy,Tingly,Euphoric,Giggly,Happy","Flowery,Lavender,Rose","Capleton by Irie Genetics is an extremely resinous strain. Created by crossing White Widow and Grateful Dawg, Capleton reeks of chemicals and fuel with intermittent notes of earth and sweetness. The plants grow tall and take 60 to 70 days to flower, depending on the phenotype. Capleton consistently tests at 23% THC and offers consumers long-lasting physical effects.    ",,,"Capleton hybrid Sleepy,Tingly,Euphoric,Giggly,Happy Flowery,Lavender,Rose Capleton by Irie Genetics is an extremely resinous strain. Created by crossing White Widow and Grateful Dawg, Capleton reeks of chemicals and fuel with intermittent notes of earth and sweetness. The plants grow tall and take 60 to 70 days to flower, depending on the phenotype. Capleton consistently tests at 23% THC and offers consumers long-lasting physical effects.      ",Capleton hybrid Sleepy Tingly euphoric giggly Happy Flowery Lavender Rose Capleton Irie Genetics extremely resinous strain create cross White Widow Grateful Dawg Capleton reek chemical fuel intermittent note earth sweetness plant grow tall 60 70 day flower depend phenotype Capleton consistently test 23 THC offer consumer long last physical effect      
